First Name,Middle Name,Last Name,Extension Name,Email,Phone Number,Sex,Birthdate,Civil Status,Birth Certificate No,Facebook Account,Nationality,House No/Street,Barangay,District,City/Municipality,Province,Region,Birthplace City,Birthplace Province,Birthplace Region,Educational Attainment,Employment Status,Employment Type,Learner Classification,Is PWD,Disability Type,Disability Cause,Qualification,Batch Name,Scholarship Type,Enrollment Status,Enrollment Date,Privacy Consent,Trainee Status
Aaron,Delos Santos,Abella,,aaron.abella.eim2027@example.com,09170012001,Male,2002-01-14,Single,BC20270001,aaron.abella,Filipino,Purok 1,San Miguel,1st District,Malaybalay City,Bukidnon,REGION X,Malaybalay City,Bukidnon,REGION X,Senior High (K-12),Unemployed,,Student,No,,,Electrical Installation and Maintenance NC II,Electrical Installation and Maintenance NC II - Batch 2,TWSP,approved,2027-01-27 08:00:00,Yes,active
Bryan,Monte,Cruz,,bryan.cruz.eim2027@example.com,09170012002,Male,2000-03-22,Single,BC20270002,bryan.cruz,Filipino,Block 4,Canitoan,2nd District,Cagayan de Oro City,Misamis Oriental,REGION X,Cagayan de Oro City,Misamis Oriental,REGION X,Senior High (K-12),Wage-Employed,Casual,Worker,No,,,Electrical Installation and Maintenance NC II,Electrical Installation and Maintenance NC II - Batch 2,TWSP,approved,2027-01-27 08:15:00,Yes,active
Carlo,Navarro,Reyes,,carlo.reyes.eim2027@example.com,09170012003,Male,1999-07-09,Married,BC20270003,carlo.reyes,Filipino,Sitio Proper,Poblacion,District 1,Valencia City,Bukidnon,REGION X,Valencia City,Bukidnon,REGION X,College Undergraduate,Self-Employed,,Others,No,,,Electrical Installation and Maintenance NC II,Electrical Installation and Maintenance NC II - Batch 2,TWSP,approved,2027-01-27 08:30:00,Yes,active
Dennis,Lopez,Flores,,dennis.flores.eim2027@example.com,09170012004,Male,2001-11-17,Single,BC20270004,dennis.flores,Filipino,Zone 3,Lumbo,District 2,Valencia City,Bukidnon,REGION X,Don Carlos,Bukidnon,REGION X,Senior High (K-12),Unemployed,,Out-of-School Youth,No,,,Electrical Installation and Maintenance NC II,Electrical Installation and Maintenance NC II - Batch 2,TWSP,approved,2027-01-27 08:45:00,Yes,active
Edgar,Suico,Lim,,edgar.lim.eim2027@example.com,09170012005,Male,1998-05-02,Married,BC20270005,edgar.lim,Filipino,Lot 8,Poblacion,District 1,Manolo Fortich,Bukidnon,REGION X,Manolo Fortich,Bukidnon,REGION X,College Graduate,Wage-Employed,Regular,Worker,No,,,Electrical Installation and Maintenance NC II,Electrical Installation and Maintenance NC II - Batch 2,TWSP,approved,2027-01-28 09:00:00,Yes,active
Francis,Dela Pena,Marquez,,francis.marquez.eim2027@example.com,09170012006,Male,2003-08-26,Single,BC20270006,francis.marquez,Filipino,Purok 5,Dalwangan,1st District,Malaybalay City,Bukidnon,REGION X,Malaybalay City,Bukidnon,REGION X,Senior High (K-12),Unemployed,,Student,No,,,Electrical Installation and Maintenance NC II,Electrical Installation and Maintenance NC II - Batch 2,TWSP,approved,2027-01-28 09:15:00,Yes,active
Gerald,Navales,Vega,,gerald.vega.eim2027@example.com,09170012007,Male,1997-10-13,Married,BC20270007,gerald.vega,Filipino,Zone 2,San Roque,District 3,Iligan City,Lanao del Norte,REGION X,Iligan City,Lanao del Norte,REGION X,High School Graduate,Self-Employed,,Worker,No,,,Electrical Installation and Maintenance NC II,Electrical Installation and Maintenance NC II - Batch 2,TWSP,approved,2027-01-28 09:30:00,Yes,active
Harold,Layno,Pascual,,harold.pascual.eim2027@example.com,09170012008,Male,2001-02-04,Single,BC20270008,harold.pascual,Filipino,Blk 2,Patag,District 1,Cagayan de Oro City,Misamis Oriental,REGION X,Cagayan de Oro City,Misamis Oriental,REGION X,Senior High (K-12),Wage-Employed,Contractual,Worker,No,,,Electrical Installation and Maintenance NC II,Electrical Installation and Maintenance NC II - Batch 2,TWSP,approved,2027-01-28 09:45:00,Yes,active
Ivan,Solis,Querubin,,ivan.querubin.eim2027@example.com,09170012009,Male,2000-06-18,Single,BC20270009,ivan.querubin,Filipino,Purok 7,Lumbia,2nd District,Cagayan de Oro City,Misamis Oriental,REGION X,El Salvador City,Misamis Oriental,REGION X,College Undergraduate,Unemployed,,Out-of-School Youth,Yes,Hearing,Congenital,Electrical Installation and Maintenance NC II,Electrical Installation and Maintenance NC II - Batch 2,TWSP,approved,2027-01-29 08:00:00,Yes,active
Joshua,Ranido,Neri,,joshua.neri.eim2027@example.com,09170012010,Male,1999-12-30,Married,BC20270010,joshua.neri,Filipino,Sitio Riverside,Bugcaon,District 1,Lantapan,Bukidnon,REGION X,Lantapan,Bukidnon,REGION X,High School Graduate,Unemployed,,Farmer,No,,,Electrical Installation and Maintenance NC II,Electrical Installation and Maintenance NC II - Batch 2,TWSP,approved,2027-01-29 08:15:00,Yes,active
